event,track,particle,tungsten_entry,tungsten_exit,sc1_entry,sc1_exit,sc2_entry,sc2_exit,sc3_entry,sc3_exit
301,7,e-,0,0,0,0,0,1,0,0
302,1,proton,1,1,1,1,1,1,1,1
302,5,e-,0,1,0,0,0,0,0,0
303,1,proton,1,1,1,1,1,1,1,1
304,1,proton,1,1,1,1,1,1,1,1
305,1,proton,1,1,1,1,1,1,1,1
306,1,proton,1,1,1,1,1,1,1,1
307,1,proton,1,1,1,1,1,0,0,0
307,4,neutron,0,0,0,0,0,1,1,1
307,5,pi+,0,0,0,0,0,1,1,0
307,6,neutron,0,0,0,0,0,1,1,1
307,7,pi+,0,0,0,0,0,1,1,1
307,10,pi-,0,0,0,0,0,1,1,1
307,11,proton,0,1,1,1,1,0,0,0
307,14,e-,0,0,0,0,1,0,0,0
307,16,gamma,0,0,0,0,0,1,0,0
307,17,gamma,0,0,0,0,0,1,0,0
307,18,gamma,0,0,0,0,0,1,1,1
307,19,gamma,0,0,0,0,0,1,1,1
308,1,proton,1,1,1,1,1,1,1,1
309,1,proton,1,1,1,1,1,1,1,1
310,1,proton,1,1,1,1,1,1,1,1
310,4,e-,0,0,0,0,0,0,0,1
311,1,proton,1,1,1,1,1,1,1,1
312,1,proton,1,1,1,1,1,1,1,1
313,1,proton,1,1,1,1,1,1,1,1
313,3,e-,0,0,0,0,0,1,0,0
314,1,proton,1,1,1,1,1,1,1,1
314,5,e-,0,0,0,0,0,1,1,0
315,1,proton,1,1,1,1,1,1,1,0
316,1,proton,1,1,1,1,1,1,1,1
317,1,proton,1,1,1,0,0,0,0,0
317,2,proton,0,0,0,1,1,1,0,0
317,5,pi+,0,0,0,1,1,1,1,1
317,6,neutron,0,0,0,1,0,0,0,0
317,8,proton,0,0,0,1,1,0,0,0
317,10,pi+,0,0,0,1,1,1,1,1
317,11,proton,0,0,0,1,1,1,0,0
317,14,neutron,0,0,0,1,0,0,0,0
317,18,neutron,0,0,0,1,0,0,0,0
317,22,e-,0,0,0,0,0,1,1,1
317,25,gamma,0,0,0,1,1,1,0,0
317,26,gamma,0,0,0,1,1,1,1,1
318,1,proton,1,1,1,1,1,1,1,1
318,6,e-,0,0,0,0,0,0,0,1
319,1,proton,1,1,1,1,1,1,1,1
319,4,e-,0,0,0,0,0,0,0,1
320,1,proton,1,1,1,1,1,1,1,1
320,6,e-,0,0,0,0,0,0,0,1
321,1,proton,1,1,1,1,1,1,1,1
321,3,e-,0,0,0,1,1,0,0,0
321,4,e-,0,0,0,1,0,0,0,0
322,1,proton,1,1,1,1,1,1,1,1
323,1,proton,1,1,1,1,1,1,1,1
323,4,e-,0,0,0,0,0,0,0,1
324,1,proton,1,1,1,1,1,1,1,1
325,1,proton,1,1,1,1,1,1,1,1
326,1,proton,1,1,1,1,1,1,1,1
327,1,proton,1,1,1,1,1,1,1,1
328,1,proton,1,1,1,1,1,1,1,1
328,3,e-,0,0,0,1,1,0,0,0
328,4,e-,0,0,0,0,0,0,1,0
329,1,proton,1,1,1,1,1,1,1,1
330,1,proton,1,1,1,1,1,1,1,1
330,5,e-,0,0,0,0,0,0,1,0
331,1,proton,1,1,1,1,1,1,1,1
331,5,e-,0,0,0,0,0,1,1,1
332,1,proton,1,1,1,1,1,1,1,1
333,1,proton,1,1,1,1,1,1,1,1
334,1,proton,1,1,1,1,1,1,1,0
335,1,proton,1,1,1,1,1,1,1,1
336,1,proton,1,1,1,1,1,1,1,1
336,2,e-,1,0,0,0,0,0,0,0
336,4,e-,0,0,0,0,1,0,0,0
336,5,e-,0,0,0,0,1,0,0,0
337,1,proton,1,1,1,1,1,1,1,1
338,1,proton,1,1,1,1,1,1,1,1
339,1,proton,1,1,1,1,1,1,1,0
340,1,proton,1,1,1,1,1,1,1,1
341,1,proton,1,1,1,1,1,1,1,1
342,1,proton,1,1,1,1,1,1,1,1
343,1,proton,1,1,1,1,1,1,1,1
343,4,e-,0,0,0,1,1,0,0,0
344,1,proton,1,1,1,1,1,1,1,1
345,1,proton,1,1,1,1,1,1,1,1
346,1,proton,1,1,1,1,1,1,1,1
347,1,proton,1,1,1,1,1,1,1,1
348,1,proton,1,1,1,1,1,1,1,1
348,4,e-,0,0,0,1,1,0,0,0
348,5,e-,0,0,0,0,1,0,0,0
349,1,proton,1,1,1,1,1,1,1,0
350,1,proton,1,1,1,1,1,1,1,1
350,2,e-,0,0,0,0,0,0,0,1
351,1,proton,1,1,1,1,1,1,1,1
352,1,proton,1,1,1,1,1,1,1,1
353,1,proton,1,1,1,1,1,1,1,0
354,1,proton,1,1,1,1,1,1,1,1
354,4,e-,0,1,0,0,0,0,0,0
355,1,proton,1,1,1,1,1,1,1,1
356,1,proton,1,1,1,1,1,1,1,1
356,5,e-,0,0,0,0,0,0,0,1
357,1,proton,1,1,1,1,1,1,1,1
358,1,proton,1,1,1,1,1,1,1,1
359,1,proton,1,1,1,1,1,1,1,1
360,1,proton,1,1,1,1,1,1,1,1
360,4,e-,0,0,0,1,0,0,0,0
361,1,proton,1,1,1,1,1,1,1,1
362,1,proton,1,1,1,1,1,1,1,1
363,1,proton,1,1,1,1,1,1,1,0
364,1,proton,1,1,1,1,1,1,1,1
